,0,1
0,573,14.812558672331198
1,3295,13.34025796297339
2,4467,12.966122022379533
3,3085,12.021539871018181
4,7466,11.831459773735126
5,7979,11.529084529875014
6,1979,10.970536298669991
7,13935,10.399247239996406
8,5840,10.22309100151147
9,2589,9.933914480845257
10,5468,9.781022644157552
11,363,9.78046060879513
12,891,9.626174465572866
13,2787,9.596173506004334
14,3063,9.568114386404147
15,4981,9.568114386404147
16,2786,9.558797775297187
17,13638,9.546544235355201
18,4983,9.382176927006556
19,14103,9.284568711405345
20,14876,9.278718294703367
21,5138,9.15469383321094
22,11818,9.126452986151968
23,3048,9.126324650867485
24,1128,9.114191172492522
25,8230,9.05895068203673
26,11056,8.964950738672917
27,361,8.944660943586621
28,12734,8.899193991028865
29,13986,8.873470510048378
30,6962,8.868126559030605
31,6917,8.842242813529397
32,2805,8.82456161794031
33,2785,8.81491921996492
34,9786,8.794234682684928
35,2784,8.702908830642318
36,1368,8.627227159957101
37,1964,8.592931007267683
38,10905,8.571361854066918
39,12577,8.558723784867889
40,41,8.490427294523087
41,952,8.45961979487839
42,9076,8.435406520887907
43,3612,8.415429416750474
44,1071,8.392995105083882
45,5804,8.365873775189096
46,4666,8.339389411046515
47,9077,8.256135110032025
48,5765,8.242537585137601
49,7126,8.2150104883048
50,783,8.16364581976481
51,5825,8.132888446071215
52,8469,8.086061412651201
53,7969,8.065983750219651
54,2670,8.053322248882031
55,10915,8.02286302419555
56,1352,7.969136974256852
57,9269,7.931858923726811
58,844,7.895074200770057
59,9079,7.894731575619881
60,14915,7.872490945028933
61,13909,7.859884673004704
62,1383,7.850808562363712
63,10169,7.81815380102228
64,14050,7.787422412950478
65,6965,7.776863716285577
66,4665,7.767494033277145
67,14628,7.764039059616143
68,14602,7.714560279734291
69,5595,7.695353604714487
70,14697,7.5242748850840435
71,2731,7.411681933058291
72,12122,7.395892142012662
73,1507,7.386517316045111
74,4287,7.353547445820535
75,4576,7.352342531005066
76,14490,7.318743371704764
77,7948,7.310739005907218
78,11912,7.280828964611606
79,9078,7.269418767267982
80,12299,7.116515793798337
81,6930,7.0846623535881506
82,13251,6.997133798410746
83,8468,6.991031293961284
84,7300,6.944490227188378
85,655,6.931856838597055
86,333,6.922882140826299
87,940,6.9063706230596775
88,1301,6.905374687391486
89,10766,6.895558433436438
90,332,6.890919081883119
91,12,6.887980994429508
92,5452,6.8837868244056475
93,76,6.8684701006179845
94,12401,6.851174817214333
95,1776,6.84285315826639
96,14875,6.8379212014166395
97,6094,6.827974989016942
98,11961,6.80567178804567
99,3999,6.804206484309898
100,2290,6.796072236766585
101,5702,6.7868481489125445
102,955,6.782015443000869
103,87,6.779466238951618
104,5373,6.77499950380756
105,3977,6.763093191541655
106,9153,6.755054246456637
107,12322,6.749195526757321
108,12461,6.746439924541531
109,231,6.740413363354913
110,12086,6.730838915525996
111,5201,6.727349606110743
112,754,6.719872730065409
113,951,6.717242816311504
114,12434,6.715165812334885
115,1769,6.70042126793685
116,1369,6.694038664794283
117,672,6.6845833413868325
118,8986,6.683491827345801
119,12477,6.660839660028545
120,3951,6.651038887439292
121,11899,6.6507432406561575
122,11901,6.6507432406561575
123,3813,6.632008154201216
124,12146,6.627753652313358
125,13485,6.616620991906246
126,3984,6.607428659612602
127,942,6.607301045267569
128,377,6.6042664758862255
129,344,6.59848413294679
130,944,6.5952615165180735
131,5257,6.590605070314227
132,902,6.589870318448549
133,645,6.577131281078164
134,5841,6.573180947167961
135,482,6.571963141246993
136,128,6.5648274907110675
137,3972,6.563045998572018
138,3955,6.553103684022973
139,3968,6.538206247231754
140,5836,6.5337503007281565
141,7443,6.529380413600152
142,12161,6.515994755248936
143,202,6.500763906524713
144,1762,6.4888040108360725
145,550,6.481847705843514
146,7221,6.481825182944027
147,769,6.4792616193080805
148,544,6.4786568112755525
149,8192,6.477447533882863
150,816,6.475187666099839
151,2052,6.472459486617717
152,188,6.4602969185921415
153,4099,6.454022261370932
154,484,6.451606945287038
155,13840,6.44084680921366
156,4611,6.420724698918706
157,84,6.418478464622086
158,12072,6.408248566712563
159,5806,6.40295320385471
160,11835,6.383424203757957
161,1334,6.381195498607891
162,12047,6.374332275964363
163,4375,6.365519766180853
164,3952,6.361080428118413
165,10462,6.358825146816801
166,12000,6.356065143030253
167,3297,6.3517098158992376
168,10677,6.332495537781764
169,11844,6.305820632763821
170,156,6.303579507051256
171,2959,6.284100801469566
172,12313,6.2801055871334075
173,704,6.267640247890734
174,895,6.25251679880621
175,12428,6.241905403258911
176,3669,6.232546467760276
177,12519,6.227411021624498
178,12552,6.227411021624498
179,837,6.221469086463687
180,5826,6.212055335597871
181,3684,6.21183294207536
182,609,6.210817712927867
183,351,6.210779112705989
184,1828,6.190092173412076
185,797,6.187448735987313
186,961,6.185402609422206
187,71,6.180086179912257
188,3564,6.167811815322688
189,3947,6.154557595119458
190,408,6.136724545706938
191,12535,6.13167199418347
192,3966,6.108874282579571
193,956,6.093432133623849
194,6086,6.082681163829032
195,831,6.080642064542344
196,3679,6.078118217462208
197,4759,6.055261642208873
198,10478,6.050429782503193
199,8451,6.0208598110092515
200,744,6.020586687259085
201,7429,6.020527364284406
202,7953,6.007161833254959
203,3622,6.0037243021845175
204,1834,5.997253533304509
205,12068,5.983405351544749
206,917,5.97163088795898
207,7951,5.946603030507301
208,7954,5.940760162134497
209,9007,5.939911045541461
210,636,5.939378812695091
211,3957,5.903561721995044
212,7240,5.8975789037248445
213,3158,5.887813332796258
214,11777,5.878731743019437
215,941,5.863485833124679
216,7282,5.827896079437135
217,2992,5.826535510744404
218,9064,5.816190433075036
219,975,5.813662664911218
220,1491,5.807426983644833
